Chiffres
5-HiAA;"5-hydroxyindole acetic acid (en) (A5HIA) ; ou acide 5-hydroxyindolacétique"
5-HT;5-Hydroxytryptamine ou Sérotonine
A
A1At;α-1-antitrypsine (aussi αAT ou AAT)
AA;aorte ascendante (en), affection actuelle, acide aminé, air ambiant, antiarthrosique, ou amplitude articulaire (en)
AAA;anévrisme de l'aorte abdominale ou abcès apical aigu
AAB;abdomen à blanc
AAC;allergies alimentaires croisées
AAE;alvéolite allergique extrinsèque
AAG;asthme aigu grave
AAH;allocation aux adultes handicapés
AAM;anticorps antimitochondries (en)
AAN;anticorps antinucléaire
AAP;antiagrégant plaquettaire
AAR;anti-arythmique
AAT;α-1-antitrypsine (αAT)
ABC;ATP Binding Cassette
ABCDE;Asymétrie, Bords irréguliers, Couleur inhomogène, Diamètre supérieur à 6 mm, Évolution (critères du mélanome)
ABPA;aspergillose bronchopulmonaire allergique
AC ou ACR;arrêt cardiaque ou arrêt cardio-respiratoire
AC;(ante cibum) avant le repas (pré prandial (en)), anticorps ou anticoagulé
ACCA;ancien chef de clinique assistant
ACD;acidocétose diabétique
ACFA;arythmie complète par fibrillation auriculaire
ACE;antigène carcino-embryonnaire
ACG;autocontrôle de la glycémie
ACM;artère cérébrale moyenne
ACOMI;artériopathie chronique oblitérante des membres inférieurs
ACR;arrêt cardiorespiratoire
ACSOS;agressions cérébrales secondaires d'origine systémique
ACTH;adrenocorticotropic hormone (corticotrophine)
ACTP;angioplastie coronarienne transluminale percutanée
ACV;Aciclovir (et anciennement : Accident cérébro-vasculaire)
ad;jusqu'à ou (auricula dexter) oreillette droite atrium droit
ADH;antidiuretic hormone (hormone antidiurétique)
ADK;adénocarcinome
ADN;acide désoxyribonucléique
ADO;anti-diabétiques oraux
ADP;adénopathie, ou adénosine diphosphate
ADT;accident du travail
ADVC;accident de la vie courante
AEC;Altération de l'état de conscience (confusion)
AEG;altération de l'état général
AEH;allocation enfant handicapé
AEP;angine érythémato-pultacée
AES;accident d'exposition au sang ou auto-examen du sein (en)
AF;antécédent familial
AFP;Alpha-fœtoprotéine
AG;anesthésie générale, ou acide gras
AGT;Amnésie transitoire globale
Ag;antigène ou argent
AHAI;anémie hémolytique auto-immune
AI;angor instable ou auto-immun
AIAP;arthrose inter apophysaire postérieure
AIP;acute interstitial pneumonia
AINS;anti-inflammatoire non stéroïdien
AIT;accident ischémique transitoire
AJI;Arthrite juvénile idiopathique
AK;akinésie
ALAT;alanine aminotransférase
ALD;affection longue durée, adrénoleucodystrophie ou aliments lactés diététiques
ALIS;Association liberté information santé (association pour la liberté de vacciner)
ALPS;autoimmune lymphoproliferative syndrome (Syndrome lymphoprolifératif avec auto-immunité)
ALR;anesthésie locorégionale
AME;Aide médicale d'État
AMI;Artère mésentérique inférieure
AMIR;anomalie micro-vasculaire intra-rétinienne
AMM;autorisation de mise sur le marché
AMO;Ablation du matériel d'ostéosynthèse (en)
AMP;adénosine monophosphate, aide médicale à la procréation ou ampoule
AMPc;AMP cyclique
AMS;aire motrice supplémentaire
AMS;Artère mésentérique supérieure
ANCA;anti neutrophilic cytoplasm antibody (anticorps anti-cytoplasme des neutrophiles)
ANO (+);AID POSITIF
ANSM;Agence nationale de sécurité du médicament et des produits de santé
AOD;anticoagulant oral direct
AOMI;artériopathie oblitérante des membres inférieurs
AP;artère pulmonaire
APCN;aspergillose pulmonaire chronique nécrosante
APGAR;american pediatric gross assessment record
API;aspergillose pulmonaire invasive
APP;appendicectomie
APSI;atrésie pulmonaire à septum intact
APSO;atrésie pulmonaire à septum ouvert
APUD;amine precursor uptake and decarboxylation (groupe de cellules captant et décarboxylant des précurseurs d'amines)
AR;autosomique récessif
ARA2;Antagoniste des récepteurs de l'angiotensine II
ARD;Ankyrin repeat containing domain (en)
ARH;agence régionale de l'hospitalisation
ARM;angio-IRM
ARN;acide ribonucléique
ARNm;ARN messager
ARS;Agence régionale de santé
AS;aide-soignant ou (auricula sinister) oreillette gauche, atrium gauche
ASA;American Society of Anesthesiologists pour la classification du risque opératoire
ASAT;aspartate aminotransférase
ASC;aire sous la courbe
ASH;agent des services hospitaliers
ASIA;"anévrisme du septum inter-auriculaire ; ou score ASIA (en) "
ASLO;antistreptolysine O
ASMR;amélioration du service médical rendu
ASP;abdomen sans préparation, ou avortement spontané précoce
AT;arrêt de travail
AT1;angiotensine I
AT2;angiotensine II
ATB;Arbre trachéo-bronchique
ATC;angioplastie trans-coronarienne
ATCD;antécédents
ATL;angioplastie transluminale
ATL;Aspirin triggered epi-lipoxin (en)
ATP;adénosine triphosphate
ATS;antithyroïdien de synthèse
ATU;Autorisation temporaire d'utilisation
AV;acuité visuelle
AVB;accouchement par voie basse
